credit_id,customer_id,credit_limit,used_credit,snapshot_date,credit_status
CL001,C001,100000.0,28000.0,2026-06-14,ACTIVE
CL002,C002,300000.0,240000.0,2026-06-14,ACTIVE
CL003,C003,20000.0,18500.0,2026-06-14,ACTIVE
CL004,C004,80000.0,79000.0,2026-06-14,FROZEN
CL005,C005,500000.0,120000.0,2026-06-14,ACTIVE
CL006,C006,10000.0,9600.0,2026-06-14,ACTIVE
CL007,C007,600000.0,510000.0,2026-06-14,ACTIVE
CL008,C008,120000.0,34000.0,2026-06-14,ACTIVE
CL009,C009,50000.0,42000.0,2026-06-14,ACTIVE
CL010,C010,200000.0,30000.0,2026-06-14,ACTIVE
CL011,C011,90000.0,88000.0,2026-06-14,ACTIVE
CL012,C012,150000.0,45000.0,2026-06-14,ACTIVE
